"Data generated on Tuesday, February 07, 2017 at 7:06:18 PM EST"
Area/Partners of Destination,,,,,January 2011 - December 2016
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,Q1(Jan-Mar),Q2(Apr-Jun),Q3(Jul-Sep),Q4(Oct-Dec),Total,
Partner,HS Code,Product,Year,Value,Value,Value,Value,Value,Reporter Code,Partner Code,Product Code,
"European Union-28","0702000015","ORG CHERRY TOMAT","2011-2011","0","4","0","0","4","US","R25","0702000015",
"European Union-28","0702000015","ORG CHERRY TOMAT","2013-2013","3","0","0","0","3","US","R25","0702000015",
"European Union-28","0702000015","ORG CHERRY TOMAT","2016-2016","0","0","0","3","3","US","R25","0702000015",
"European Union-28","0702000025","ORG ROMA PLM TOM","2014-2014","0","0","0","3","3","US","R25","0702000025",
"European Union-28","0702000035","ORG TOMATO OTHER","2012-2012","0","0","3","0","3","US","R25","0702000035",
"European Union-28","0702000035","ORG TOMATO OTHER","2016-2016","3","0","0","0","3","US","R25","0702000035",
"European Union-28","0702000045","CHERRY TOMATO","2012-2012","0","0","409","0","409","US","R25","0702000045",
"European Union-28","0702000045","CHERRY TOMATO","2015-2015","0","0","30","0","30","US","R25","0702000045",
"European Union-28","0702000045","CHERRY TOMATO","2016-2016","3","0","0","0","3","US","R25","0702000045",
"European Union-28","0702000055","ROMA PLUM TOMATO","2014-2014","0","0","0","4","4","US","R25","0702000055",
"European Union-28","0702000065","TOMATOES OTHER","2012-2012","0","3","0","0","3","US","R25","0702000065",
"European Union-28","0702000065","TOMATOES OTHER","2016-2016","5","0","5","0","10","US","R25","0702000065",
"European Union-28","0703100010","ORG ONION SET FR","2011-2011","0","11","0","0","11","US","R25","0703100010",
"European Union-28","0703100010","ORG ONION SET FR","2013-2013","19","0","0","0","19","US","R25","0703100010",
"European Union-28","0703100010","ORG ONION SET FR","2016-2016","0","513","131","113","757","US","R25","0703100010",
"European Union-28","0703100050","ONION SETS FR/CH","2011-2011","0","0","30","11","41","US","R25","0703100050",
"European Union-28","0703100050","ONION SETS FR/CH","2012-2012","31","210","0","13","254","US","R25","0703100050",
"European Union-28","0703100050","ONION SETS FR/CH","2013-2013","13","16","0","0","29","US","R25","0703100050",
"European Union-28","0703100050","ONION SETS FR/CH","2014-2014","6","0","0","6","12","US","R25","0703100050",
"European Union-28","0703100050","ONION SETS FR/CH","2015-2015","11","0","0","0","11","US","R25","0703100050",
"European Union-28","0703100050","ONION SETS FR/CH","2016-2016","1,007","4,975","1,954","2,685","10,621","US","R25","0703100050",
"European Union-28","0704100010","ORG CAULFLOWR FR","2011-2011","7","0","0","0","7","US","R25","0704100010",
"European Union-28","0704100010","ORG CAULFLOWR FR","2012-2012","4","107","17","27","155","US","R25","0704100010",
"European Union-28","0704100010","ORG CAULFLOWR FR","2013-2013","0","6","0","71","77","US","R25","0704100010",
"European Union-28","0704100010","ORG CAULFLOWR FR","2014-2014","3","0","65","0","68","US","R25","0704100010",
"European Union-28","0704100010","ORG CAULFLOWR FR","2015-2015","3","0","0","3","6","US","R25","0704100010",
"European Union-28","0704100010","ORG CAULFLOWR FR","2016-2016","0","0","0","18","18","US","R25","0704100010",
"European Union-28","0704100050","CAULFLOWER FR/CH","2012-2012","0","187","18","34","239","US","R25","0704100050",
"European Union-28","0704100050","CAULFLOWER FR/CH","2013-2013","0","0","0","875","875","US","R25","0704100050",
"European Union-28","0704100050","CAULFLOWER FR/CH","2014-2014","0","0","81","47","128","US","R25","0704100050",
"European Union-28","0704100050","CAULFLOWER FR/CH","2016-2016","0","43","0","79","122","US","R25","0704100050",
"European Union-28","0704902010","ORG CABBAGE","2012-2012","0","3","0","4","7","US","R25","0704902010",
"European Union-28","0704902010","ORG CABBAGE","2014-2014","0","9","0","0","9","US","R25","0704902010",
"European Union-28","0704902010","ORG CABBAGE","2015-2015","0","0","0","3","3","US","R25","0704902010",
"European Union-28","0704902050","CABBAGE, FR/CH","2012-2012","231","0","0","131","361","US","R25","0704902050",
"European Union-28","0704902050","CABBAGE, FR/CH","2014-2014","0","0","0","4","4","US","R25","0704902050",
"European Union-28","0704902050","CABBAGE, FR/CH","2015-2015","9","0","0","0","9","US","R25","0704902050",
"European Union-28","0704902050","CABBAGE, FR/CH","2016-2016","21","0","4","0","25","US","R25","0704902050",
"European Union-28","0704904025","ORG BROCCOLI FR","2012-2012","0","102","0","97","198","US","R25","0704904025",
"European Union-28","0704904025","ORG BROCCOLI FR","2013-2013","227","191","59","343","820","US","R25","0704904025",
"European Union-28","0704904025","ORG BROCCOLI FR","2014-2014","0","0","20","0","20","US","R25","0704904025",
"European Union-28","0704904025","ORG BROCCOLI FR","2015-2015","0","43","0","0","43","US","R25","0704904025",
"European Union-28","0704904030","BROCCOLI FR/CH","2011-2011","4","0","0","0","4","US","R25","0704904030",
"European Union-28","0704904030","BROCCOLI FR/CH","2012-2012","0","323","124","3","450","US","R25","0704904030",
"European Union-28","0704904030","BROCCOLI FR/CH","2013-2013","0","77","0","18","95","US","R25","0704904030",
"European Union-28","0704904030","BROCCOLI FR/CH","2015-2015","13","0","0","0","13","US","R25","0704904030",
"European Union-28","0704904030","BROCCOLI FR/CH","2016-2016","25","0","4","18","46","US","R25","0704904030",
"European Union-28","0705110010","ORG HD LETTUCE","2012-2012","9","0","0","0","9","US","R25","0705110010",
"European Union-28","0705110010","ORG HD LETTUCE","2013-2013","0","354","0","0","354","US","R25","0705110010",
"European Union-28","0705110010","ORG HD LETTUCE","2016-2016","47","0","0","0","47","US","R25","0705110010",
"European Union-28","0705110050","HD LETTUCE FR/CH","2011-2011","0","0","0","12","12","US","R25","0705110050",
"European Union-28","0705110050","HD LETTUCE FR/CH","2012-2012","38","69","69","91","268","US","R25","0705110050",
"European Union-28","0705110050","HD LETTUCE FR/CH","2013-2013","53","160","16","27","256","US","R25","0705110050",
"European Union-28","0705110050","HD LETTUCE FR/CH","2014-2014","76","27","32","5","140","US","R25","0705110050",
"European Union-28","0705110050","HD LETTUCE FR/CH","2015-2015","0","80","75","27","181","US","R25","0705110050",
"European Union-28","0705110050","HD LETTUCE FR/CH","2016-2016","229","89","15","0","333","US","R25","0705110050",
"European Union-28","0705190010","ORG LETTUCE X HD","2014-2014","25","0","0","0","25","US","R25","0705190010",
"European Union-28","0705190040","ORG LETTUCE X HD","2016-2016","41","0","0","72","113","US","R25","0705190040",
"European Union-28","0705190050","LETTUCE X HD FR","2011-2011","180","105","88","84","456","US","R25","0705190050",
"European Union-28","0705190050","LETTUCE X HD FR","2012-2012","524","144","109","182","958","US","R25","0705190050",
"European Union-28","0705190050","LETTUCE X HD FR","2013-2013","129","132","159","154","574","US","R25","0705190050",
"European Union-28","0705190050","LETTUCE X HD FR","2014-2014","94","58","49","77","278","US","R25","0705190050",
"European Union-28","0705190050","LETTUCE X HD FR","2015-2015","70","44","14","82","210","US","R25","0705190050",
"European Union-28","0705190050","LETTUCE X HD FR","2016-2016","68","39","10","14","131","US","R25","0705190050",
"European Union-28","0706103010","ORG CARROTS FR/C","2011-2011","0","30","0","29","59","US","R25","0706103010",
"European Union-28","0706103010","ORG CARROTS FR/C","2012-2012","15","40","66","42","162","US","R25","0706103010",
