"Data generated on Sunday, February 19, 2017 at 11:48:31 PM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,,2011,2012,2013,2014,2015,2016,,
,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","World Total","1","0709205000","ASPARAGUS FC","0","0","0","0","21,786","51,334","136","US","R00","0709205000",
"1","World Total","2","0709200000","ASPARAGUS, FR/CH","31,228","36,641","32,262","30,602","0","0","","US","R00","0709200000",
"2","Japan","1","0709205000","ASPARAGUS FC","0","0","0","0","4,161","14,557","250","US","JA","0709205000",
"2","Japan","2","0709200000","ASPARAGUS, FR/CH","8,185","9,155","6,711","7,179","0","0","","US","JA","0709200000",
"3","Canada","1","0709205000","ASPARAGUS FC","0","0","0","0","12,435","10,878","-13","US","CA","0709205000",
"3","Canada","2","0709200000","ASPARAGUS, FR/CH","15,782","16,513","15,098","15,577","0","0","","US","CA","0709200000",
"4","European Union-28","1","0709205000","ASPARAGUS FC","0","0","0","0","2,875","10,231","256","US","R25","0709205000",
"4","European Union-28","2","0709200000","ASPARAGUS, FR/CH","972","2,488","3,468","3,375","0","0","","US","R25","0709200000",
"5","Switzerland(!)","1","0709205000","ASPARAGUS FC","0","0","0","0","840","5,623","570","US","SR","0709205000",
"5","Switzerland(!)","2","0709200000","ASPARAGUS, FR/CH","4,192","4,649","3,405","1,009","0","0","","US","SR","0709200000",
"6","Taiwan","1","0709205000","ASPARAGUS FC","0","0","0","0","287","610","113","US","TW","0709205000",
"6","Taiwan","2","0709200000","ASPARAGUS, FR/CH","33","201","357","359","0","0","","US","TW","0709200000",
"7","Korea, South","1","0709205000","ASPARAGUS FC","0","0","0","0","8","280","3,606","US","KS","0709205000",
"7","Korea, South","2","0709200000","ASPARAGUS, FR/CH","0","24","7","43","0","0","","US","KS","0709200000",
"","Grand Total","","","","60,392","69,670","61,308","58,144","42,391","93,513","121",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. (!) denotes a country which is summarized into its obsolete country."
"3. Product Group : FAS &#40;Agricultural&#41;"
