"Data generated on Sunday, February 19, 2017 at 9:25:10 PM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,,2011,2012,2013,2014,2015,2016,
,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Reporter Code,Partner Code,Product Code,
"1","World Total","1","0810400029","CULT BLUEBERS FR","80,079","99,595","99,755","87,720","79,878","78,142","US","R00","0810400029",
"1","World Total","2","0810200000","BERRIES,FRSH,NEC","140,301","160,281","164,777","175,613","0","0","US","R00","0810200000",
"2","Canada","1","0810400029","CULT BLUEBERS FR","69,892","87,013","85,741","72,041","64,799","65,719","US","CA","0810400029",
"2","Canada","2","0810200000","BERRIES,FRSH,NEC","123,018","140,288","144,675","155,545","0","0","US","CA","0810200000",
"3","European Union-28","1","0810400029","CULT BLUEBERS FR","109","1,076","2,263","488","1,744","6,168","US","R25","0810400029",
"3","European Union-28","2","0810200000","BERRIES,FRSH,NEC","5,522","6,657","6,340","2,926","0","0","US","R25","0810200000",
"4","Japan","1","0810400029","CULT BLUEBERS FR","6,304","6,111","4,583","5,080","2,792","2,039","US","JA","0810400029",
"4","Japan","2","0810200000","BERRIES,FRSH,NEC","8,775","10,325","9,432","9,387","0","0","US","JA","0810200000",
"5","Taiwan","1","0810400029","CULT BLUEBERS FR","227","1,520","1,156","2,311","1,956","790","US","TW","0810400029",
"5","Taiwan","2","0810200000","BERRIES,FRSH,NEC","44","196","386","393","0","0","US","TW","0810200000",
"6","Korea, South","1","0810400029","CULT BLUEBERS FR","913","570","1,454","1,899","2,583","569","US","KS","0810400029",
"6","Korea, South","2","0810200000","BERRIES,FRSH,NEC","0","14","68","0","0","0","US","KS","0810200000",
"7","Switzerland(!)","1","0810400029","CULT BLUEBERS FR","0","0","0","4","0","0","US","SR","0810400029",
"","Grand Total","","","","435,183","513,646","520,632","513,408","153,753","153,427",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. (!) denotes a country which is summarized into its obsolete country."
"3. Product Group : FAS &#40;Agricultural&#41;"
